Days,T,F,H,O
0,1,0,0,0
3,1,1,0,0
5,2,1,0,0
8,2,2,0,0
10,2,3,0,0
12,2,4,0,0
14,2,4,1,0
15,2,4,2,0
17,2,4,4,0
18,3,4,6,0
20,3,4,8,0
21,3,5,9,0
22,3,5,14,0
23,3,5,21,0
24,3,5,30,0
25,3,5,37,0
26,3,5,40,0
27,3,5,44,0
28,3,5,45,0
29,4,5,48,0
30,4,6,52,0
31,4,10,55,0
32,4,13,59,0
33,4,15,64,0
34,4,19,67,0
35,4,21,68,0
36,4,21,70,1
37,5,24,71,1
38,5,26,72,1
39,5,28,73,3
40,5,29,79,3
41,5,32,79,4
42,5,34,80,5
43,5,35,80,6
44,5,36,82,6
45,5,37,82,6
46,5,37,83,6
47,5,38,83,6
48,5,39,84,6
49,5,40,85,6
50,5,40,88,6
51,5,40,90,6
53,5,40,91,6
56,5,40,92,6
59,5,40,93,6
63,5,40,94,6
64,5,40,95,6
65,5,40,96,6
67,5,40,97,6
71,5,40,98,6
73,5,40,100,6
75,5,40,103,6
76,5,40,105,6
77,5,40,107,6
78,5,40,108,6
79,5,40,110,6
80,5,40,113,6
81,5,40,117,6
82,5,40,122,6
83,5,40,127,6
84,5,40,131,6
85,5,41,136,6
86,5,41,142,6
87,5,41,146,6
88,5,41,154,6
89,5,41,159,6
90,5,41,165,6
91,5,41,172,6
92,5,41,177,6
93,5,42,185,6
94,5,42,186,6
95,5,43,187,6
96,5,44,189,6
97,5,44,190,6
98,5,44,191,6
99,5,44,193,6
103,5,46,193,6
107,5,47,193,6